,,,,,,,,,Part Request List,,
,,,,,,,,,Requested By:,_______________                                ,
,,,,,,,,,Date Requested:,__ /__ /__,
,,,,,,,,,Date Completed:,__ /__ /__,
,,,,,,,,,Assembly Name:,_______________,
,,,,,,,,,Assemblies:,x1,
,,,,,,,,,,,
,,,,,,,,,,,
Machine,Completed Kit,Completed Assembly Name,Number Per Machine,UOM,Quantity per Machine,Quantity per Assembly,Final QTY (per Machine),Stocked,Part Number,Description,Requested Quantity
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,2,2,No,50310-SD-100,M6 Insert,2
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,4,4,No,50642-SD-100,"Loop Clamp, Galvanized Steel, for 1/4"" Outside Diameter, 1/2"" Wide, Pack of 50, McMaster  8863T1",5
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,50643-SD-100,"Loop Clamp, Galvanized Steel, for 3/8"" Outside Diameter, 1/2"" Wide, Pack of 50, McMaster 8863T2",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,61088-ME-100,"Bolt, Hex, M8-1.25 x 30, Grade 10.9, yellow zinc",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,2,2,No,61189-ME-100,"M4-0.7 x 12 Flat Head Socket Cap Screw, Zonc Plated, McMaster 91263A829",2
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,19,19,No,61201-ME-100,"Bolt, SHCS, M4-0.7 x 10, Zinc",19
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,2,2,No,61211-ME-100,"Bolt, SHCS, M6-1.0 x 12, Zinc McMaster 95263A516",2
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,61314-ME-100,"Nut, Flange, Nylock, M8 ",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,2,2,No,61526-ME-100,"WASHER, LOCK, EXTERNAL-TOOTH, M8, ZINC MCMASTER 97985A590",2
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,70089-SD-100,"Amplifier, Servo, Kollmorgen AKD-P02406-NBEC-0000 24/48 Amp",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,2,2,No,70090-SD-100,"Amplifier, Servo, Kollmorgen AKD-P01206-NBEC-0000 12/30 Amp",2
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,5,5,No,70091-SD-100,"Amplifier, Servo, Kollmorgen AKD-P00606-NBEC-0000 6/18 Amp",5
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,7,7,No,70106-SD-100,"Shield Ground Plate, ADK-P00606  153-230000-01",7
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,70107-SD-100,"Shield Ground Plate, ADK-P02406  153-235000-00",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,11,11,No,70112-SD-100,"Phoenix, Feed-through, PT2,5 - quattro, grey, 3209578",11
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,4,4,No,70113-SD-100,"Phoenix, Feed-through, PT2,5 - quattro, blue, 3209581",4
